"nm.combo" "activity.id" "subject.id"
"1" "activity.id" 3.62162162162162 15.8707482993197
"2" "activity.label" 3.63945578231292 16.8503401360544
"3" "fBodyAcc.mean...X" 3.61904761904762 16.421768707483
"4" "fBodyAcc.mean...Y" 3.62585034013605 15.7823129251701
"5" "fBodyAcc.mean...Z" 3.62585034013605 15.8367346938776
"6" "fBodyAcc.std...X" 3.62585034013605 16.2925170068027
"7" "fBodyAcc.std...Y" 3.62585034013605 16.2312925170068
"8" "fBodyAcc.std...Z" 3.63265306122449 17.1156462585034
"9" "fBodyAccJerk.mean...X" 3.63265306122449 16.9319727891156
"10" "fBodyAccJerk.mean...Y" 3.63265306122449 16.3605442176871
"11" "fBodyAccJerk.mean...Z" 3.63265306122449 16.4285714285714
"12" "fBodyAccJerk.std...X" 3.63265306122449 15.5510204081633
"13" "fBodyAccJerk.std...Y" 3.63265306122449 15.6938775510204
"14" "fBodyAccJerk.std...Z" 3.63945578231292 15.1428571428571
"15" "fBodyAccMag.mean.." 3.63945578231292 16.1292517006803
"16" "fBodyAccMag.std.." 3.63945578231292 15.4081632653061
"17" "fBodyBodyAccJerkMag.mean.." 3.63945578231292 15.8027210884354
"18" "fBodyBodyAccJerkMag.std.." 3.63945578231292 15.8095238095238
"19" "fBodyBodyGyroJerkMag.mean.." 3.63945578231292 16.0680272108844
"20" "fBodyBodyGyroJerkMag.std.." 3.63945578231292 17.5510204081633
"21" "fBodyBodyGyroMag.mean.." 3.63945578231292 15.6938775510204
"22" "fBodyBodyGyroMag.std.." 3.63945578231292 15.6938775510204
"23" "fBodyGyro.mean...X" 3.63945578231292 16.0884353741497
"24" "fBodyGyro.mean...Y" 3.63945578231292 14.9183673469388
"25" "fBodyGyro.mean...Z" 3.63945578231292 15.6190476190476
"26" "fBodyGyro.std...X" 3.63945578231292 14.9115646258503
"27" "fBodyGyro.std...Y" 3.63945578231292 15.4421768707483
"28" "fBodyGyro.std...Z" 3.63945578231292 15.8775510204082
"29" "origin" 3.63945578231292 16.6190476190476
"30" "subject.id" 3.63945578231292 16.7210884353741
"31" "tBodyAcc.mean...X" 3.62162162162162 16.1768707482993
"32" "tBodyAcc.mean...Y" 3.62162162162162 16.0884353741497
"33" "tBodyAcc.mean...Z" 3.62162162162162 15.7823129251701
"34" "tBodyAcc.std...X" 3.62162162162162 15.5238095238095
"35" "tBodyAcc.std...Y" 3.62162162162162 15.4965986394558
"36" "tBodyAcc.std...Z" 3.62162162162162 14.7551020408163
"37" "tBodyAccJerk.mean...X" 3.61224489795918 15.6351351351351
"38" "tBodyAccJerk.mean...Y" 3.61224489795918 15.4189189189189
"39" "tBodyAccJerk.mean...Z" 3.61224489795918 15.6959459459459
"40" "tBodyAccJerk.std...X" 3.61224489795918 16.2297297297297
"41" "tBodyAccJerk.std...Y" 3.61224489795918 16.1959459459459
"42" "tBodyAccJerk.std...Z" 3.61224489795918 17.1292517006803
"43" "tBodyAccJerkMag.mean.." 3.61904761904762 16.6462585034014
"44" "tBodyAccJerkMag.std.." 3.61904761904762 16.3333333333333
"45" "tBodyAccMag.mean.." 3.61904761904762 16.2448979591837
"46" "tBodyAccMag.std.." 3.61904761904762 17.5238095238095
"47" "tBodyGyro.mean...X" 3.61224489795918 17.0884353741497
"48" "tBodyGyro.mean...Y" 3.61224489795918 17.1904761904762
"49" "tBodyGyro.mean...Z" 3.61224489795918 17.0272108843537
"50" "tBodyGyro.std...X" 3.61224489795918 17.469387755102
"51" "tBodyGyro.std...Y" 3.61224489795918 17.1904761904762
"52" "tBodyGyro.std...Z" 3.61224489795918 16.2993197278912
"53" "tBodyGyroJerk.mean...X" 3.61904761904762 15.1972789115646
"54" "tBodyGyroJerk.mean...Y" 3.61904761904762 17.0068027210884
"55" "tBodyGyroJerk.mean...Z" 3.61904761904762 16.3945578231293
"56" "tBodyGyroJerk.std...X" 3.61904761904762 16.2448979591837
"57" "tBodyGyroJerk.std...Y" 3.61904761904762 16.891156462585
"58" "tBodyGyroJerk.std...Z" 3.61904761904762 16.4761904761905
"59" "tBodyGyroJerkMag.mean.." 3.61904761904762 15.0680272108844
"60" "tBodyGyroJerkMag.std.." 3.61904761904762 15.4013605442177
"61" "tBodyGyroMag.mean.." 3.61904761904762 15.9863945578231
"62" "tBodyGyroMag.std.." 3.61904761904762 15.1632653061224
"63" "tGravityAcc.mean...X" 3.62162162162162 16.1632653061224
"64" "tGravityAcc.mean...Y" 3.62162162162162 15.8503401360544
"65" "tGravityAcc.mean...Z" 3.61224489795918 15.5945945945946
"66" "tGravityAcc.std...X" 3.61224489795918 15.8243243243243
"67" "tGravityAcc.std...Y" 3.61224489795918 16.7702702702703
"68" "tGravityAcc.std...Z" 3.61224489795918 16.5540540540541
"69" "tGravityAccMag.mean.." 3.61904761904762 16.4421768707483
"70" "tGravityAccMag.std.." 3.61904761904762 17.2244897959184
